X,Y,OBJECTID,GARDEN,STATUS,GARDEN_FR,STATUS_FR,LEGAL_ADDR,NOTES,LINK_FR,LEGAL_ADDR_FR,LINK,GlobalID
-75.6387764582013,45.3912626692688,26,Kilborn Allotment Garden,Existing,Jardins Collectifs Kilborn,Actuel,1909/1975 Kilborn Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1909/1975, av. Kilborn",http://justfood.ca/community-gardening-network/,{0D417EF9-E5DC-43D0-BE8E-46AE749B72C3}
-75.3526681713976,45.3520184712641,50,Vars Community Garden,Existing,Jardin Communautaire Vars,Actuel,5859 Centre St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"5859, rue. Centre",http://justfood.ca/community-gardening-network/,{52EB3B9C-E6D6-421D-80C9-ED6DBCCA3375}
-75.6716562331182,45.4142693041665,51,Lees Ave Community Garden,Existing,Jardin Communautaire de l'avenue Lees,Actuel,166 Lees Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"166, av. Lees",http://justfood.ca/community-gardening-network/,{BE657997-21E6-4D1C-AE91-CF951CD5A547}
-75.691288444124,45.3886356660149,54,Brewer Park Community Garden,Existing,Jardin Communautaire de Parc Brewer,Actuel,151 Brewer Way,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"151, voie Brewer",http://justfood.ca/community-gardening-network/,{018528CA-6C73-402B-813B-89580621AA35}
-75.8099993073843,45.3506466653926,55,Bayshore Community Garden,Existing,Jardin Communautaire Bayshore,Actuel,175 Woodridge Cres.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"175, crois. Woodridge",http://justfood.ca/community-gardening-network/,{3919A32B-70D7-44C6-90F7-4F257DAADF7F}
-75.775526039381,45.3527842203822,56,Pinecrest Terrace Community Garden,Existing,Jardin Communautaire de Pinecrest Terrace,Actuel,2483 B Iris St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"2483 B, rue Iris",http://justfood.ca/community-gardening-network/,{33E871D1-2068-4928-94AE-050B4B9D4708}
-75.6290510144031,45.4041415380591,58,Russell Heights Community Garden,Existing,Jardin Communautaire de Russell Heights,Actuel,1799 Russell Rd.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1799, ch. Russell",http://justfood.ca/community-gardening-network/,{036909E8-4CFD-40FB-9C40-3E91DDEA6B38}
-76.037264298983,45.346408351781,347,Neighbourhood Tomato Community Garden-West Carleton,Existing,Potager de tomates communautaire de West Carleton,Actuel,3774 Carp Rd.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"3774, ch. Carp",http://justfood.ca/community-gardening-network/,{29ACD200-2701-4CDA-AB2B-4AC7821A4B0A}
-75.6831004480601,45.4293456510716,348,Oasis Food Growing Project,Existing,Jardin Communautaire Oasis,Actuel,221 Nelson St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"221, rue Nelson",http://justfood.ca/community-gardening-network/,{EFDAB820-626E-4417-A4DF-EED6F2C64F91}
-75.6650960603781,45.4398839029437,349,Partage Vanier Community Garden,Existing,Jardin Communautaire de Partage Vanier,Actuel,161 Marier St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"161, rue Marier",http://justfood.ca/community-gardening-network/,{906F9FC3-AF08-4AB8-8378-8F60797A84AA}
-75.6553262772493,45.4257818668106,352,Overbrook Community Garden,Existing,Jardin Communautaire Overbrook,Actuel,33 Quill St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"33, rue Quill",http://justfood.ca/community-gardening-network/,{DCC3E06E-F109-4F2F-A1D5-BA2E7C211D39}
-75.7875372628928,45.3342752744449,353,Leslie Park Community Garden,Existing,Jardin Communautaire de Parc Leslie,Actuel,21 Dayton Cres.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"21, crois. Dayton",http://justfood.ca/community-gardening-network/,{125810C3-C2D8-4FA9-9345-D1F17D59E196}
-75.7770701391827,45.3380842863272,988,28th Nepean Girl Guide Garden,Existing,Jardin Communautaire des 28e guides,Actuel,19 Parkfield Cres.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"19, crois. Parkfield",http://justfood.ca/community-gardening-network/,{5CA1074B-5BA2-48D7-99D5-1CC9047B7334}
-75.6611954820976,45.4385256594013,989,Fatima Manor for Seniors,Existing,Manior Fatima Manor,Actuel,280 Montfort St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"280, rue Montfort",http://justfood.ca/community-gardening-network/,{FE8545A1-BEF7-4369-B73A-883C71A01880}
-75.6585490785843,45.4437575656018,990,Vanier Community Garden,Existing,Jardin Communautaire Vanier,Actuel,300 Des Pères-Blancs Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"300, av. des Pères-Blancs",http://justfood.ca/community-gardening-network/,{D9F2C3BE-E9A0-4C0B-BB01-FA360332D268}
-75.6771283495186,45.4274196818406,991,Urban Shades Community Garden,Existing,Jardin Communautaire Urban Shades,Actuel,14 Blackburn Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"14, av. Blackburn",http://justfood.ca/community-gardening-network/,{95668388-7E63-488A-A2ED-F5FFC8C7AEBE}
-75.6831064371666,45.4406351130977,992,New Edinburgh Community Garden,Existing,Jardin Communautaire de New Edinburgh,Actuel,255 MacKay Street,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"255, rue MacKay",http://justfood.ca/community-gardening-network/,{7BD77FD8-E37A-4C03-8302-FADA5B0C9186}
-75.6855648355586,45.415149341866,993,Brooke Tower Communal Garden,Existing,Jardin Communautaire Brooke Tower,Actuel,125 Mcleod St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"125, rue Mcleod",http://justfood.ca/community-gardening-network/,{7148B759-CA57-4AD6-8020-2A46D095369D}
-75.7016735556137,45.4151913460626,994,Centretown Community Gardening Project,Existing,Jardin communautaire du Centre-ville,Actuel,461 Lisgar St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"461, rue Lisgar",http://justfood.ca/community-gardening-network/,{BC6A55E5-DF2C-4250-A389-D0A5CFB11621}
-75.7310605971944,45.3894251401713,995,Growing Up Organic,Existing,"Grandir Bio, Les Potagers Scolaires",Actuel,1145 Carling Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1145, av. Carling",http://justfood.ca/community-gardening-network/,{575A58F4-2972-492C-BAD0-0D218C6C8D74}
-75.6500784374795,45.401447075744,996,CHEO Healing Garden,Existing,Le jardin thérapeutique du CHEO,Actuel,401 Smyth Rd.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"401, ch. Smyth",http://justfood.ca/community-gardening-network/,{1C1A0FBE-BD5F-4C24-9EA9-FD3ECCDEA9EB}
-75.6258827115115,45.4017953991806,997,Russell Manor Community Garden,Existing,Jardin Communautaire de Russell Manor,Actuel,1909 Russell Road,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1909, ch. Russell",http://justfood.ca/community-gardening-network/,{0767B1EB-5B3F-42CB-A5A2-CAF5C9D9537E}
-75.649063240367,45.4055265426869,998,Trinity Community Garden,Existing,Jardin Communautaire de Trinity,Actuel,480 Avalon Place,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"480, place Avalon",http://justfood.ca/community-gardening-network/,{3CB3F7C3-7DFF-4251-883E-2E55821FDBB5}
-75.4575760621967,45.4788258174781,999,Cardinal Creek Children's Community Garden,Existing,Jardin communautaire pour enfants de Cardinal Creek,Actuel,1825 Trim Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1825, ch. Trim",http://justfood.ca/community-gardening-network/,{F78B93E2-13E5-4FA8-A5EE-86026DE5D398}
-75.6921186392025,45.4104739453914,1000,Centretown United Centre 507 Community Garden,Existing,Jardin communautaire de l’église unie du centre-ville (autre nom : jardin communautaire du Centre 507),Actuel,507 Bank St,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"507, rue Bank",http://justfood.ca/community-gardening-network/,{7343E3D8-0D5F-4FFF-8835-C15FC53A9237}
-75.5595265471409,45.4299505799629,1001,Gloucester Allotment Gardens Association (Location 2),Existing,Jardins collectifs de Gloucester (emplacement no 2),Actuel,Orient Park Drive / 5131 Renaud Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"promenade Orient Park / 5131, ch. Renaud",http://justfood.ca/community-gardening-network/,{BC0B99EA-82FA-4365-A823-E734E4B06EEF}
-75.944444290821,45.3484181624077,1017,Kanata North Community Gardens,Existing,Jardins communautaires de Kanata-Nord,Actuel,Behind 83 Scampton Drive,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"À l'arrière du 83, prom. Scampton",http://justfood.ca/community-gardening-network/,{C4DEAE5F-BCE2-4117-9502-DB38B36E2197}
-75.6807068581421,45.4346573852605,1018,Lowertown/Basseville Community Garden (AKA: Angel Square Garden / Location 2),Existing,Jardin communautaire Lowertown/Basse-ville (autre nom : jardin Angel Square / emplacement no 2),Actuel,40 Cobourg St.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"40, rue Cobourg",http://justfood.ca/community-gardening-network/,{D2006275-15BC-4D15-95F4-467206A744BD}
-75.7038682644374,45.408763593982,1019,McNabb Park Community Garden,Existing,Jardin communautaire du parc McNabb,Actuel,435 Bronson Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"435, av. Bronson",http://justfood.ca/community-gardening-network/,{737711D2-3C2F-4773-879C-FACC343E2E0E}
-75.4620960741653,45.1601063718968,1020,Osgoode Township Museum Heritage School Garden,Existing,Jardin communautaire du Musée d’Osgoode,Actuel,"7818 Lawrence St, Vernon",,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"7818, rue Lawrence, Vernon",http://justfood.ca/community-gardening-network/,{2B53597D-529B-4A7B-9365-CD0210E72372}
-75.668026006355,45.4196370018841,1032,Sandy Hill CG,Existing,Jardin Communautaire de la Côte-de-Sable,Actuel,154 Mann Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"154, av. Mann",http://justfood.ca/community-gardening-network/,{9152D0A1-8C37-48BC-92F5-BF9F3745D708}
-75.6842562306207,45.4251074694039,1035,St. Joe's Supper Table,Existing,Jardin de la St. Joe’s Supper Table,Actuel,151 Laurier Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"151, av. Laurier",http://justfood.ca/community-gardening-network/,{04F7A4B9-451C-45AB-8F0C-3A7C5FDDD42A}
-75.619027466357,45.3908252550887,1036,St.Laurent Community Garden,Existing,Jardin communautaire St-Laurent,Actuel,2178-2186 St.Laurent Blvd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"2178-2186, boul. St.Laurent",http://justfood.ca/community-gardening-network/,{58FC198B-8667-47F7-A868-9A0DF9FC6A05}
-75.7576925285328,45.2710435806048,1037,West Barrhaven Community Garden,Existing,Jardin communautaire de Barrhaven-Ouest,Actuel,3058 Jockvale Rd.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"3058, ch. Jockvale",http://justfood.ca/community-gardening-network/,{5F9DC584-0417-4968-A9F9-17AEBE454764}
-75.6351958753545,45.3865310930029,1038,Greenstar Enterprises,Existing,Jardin communautaire Greenstar,Actuel,"Kilborn Ave, Pleasant Park Ave",,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"av. Kilborn, av. Pleasant Park",http://justfood.ca/community-gardening-network/,{2DD52FDB-5E1F-4D7E-9611-735CFA10CA56}
-75.6443699162161,45.4347012629066,1329,800 St.Laurent Community Garden,Existing,Jardin Communautaire de 800 St.Laurent,Actuel,800 St.Laurent Blvd.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"800, boul. St.Laurent",http://justfood.ca/community-gardening-network/,{7D0D8C2C-8747-4006-BF0D-1B0230B58A6A}
-75.6779328211737,45.392014124648,1330,Lexington Green Life Gardens,Existing,Jardin Communautaire Lexington Green Life,Actuel,507 Riverdale Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"507, av. Riverdale",http://justfood.ca/community-gardening-network/,{75D2A8D6-0EEE-41C6-9C3B-5D5ED0EDA94D}
-75.6749359727363,45.4445118383034,1331,Lindenlea Food & Wildlife Gardens,In Development,Jardin alimentaire et Faunique de Lindenlea,En cours de développement,15 Rockcliffe Way,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"15, voie Rockcliffe",http://justfood.ca/community-gardening-network/,{EE7E5433-CC3E-4A6D-9776-7B8797B5907C}
-75.8414906058419,45.3337419047974,1332,Maple Hill Urban Farm Community Garden,Existing,Jardin Communautaire Maple Hill Urban Farm,Actuel,200 Moodie Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"200, prom. Moodie",http://justfood.ca/community-gardening-network/,{56B31FDE-9983-4781-BF7C-669E3C3AA32E}
-75.7885825789136,45.3566393675813,1333,Queensway Terrace North Community Gardens,In Development,Jardins Communautaire de Queensway Terrace,En cours de développement,950 Alpine Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"950, av. Alpine",http://justfood.ca/community-gardening-network/,{866643AD-9F49-4249-B55E-780C9FE910CB}
-75.6307576923488,45.3655654137514,1334,Revell Court Community Garden,Existing,Jardin Communautaire de Revell Court,Actuel,Siren Priv.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,privé Siren,http://justfood.ca/community-gardening-network/,{F78A1221-5D07-4DC3-87A9-B6C14BF5179A}
-75.6185030283235,45.3978742878257,1335,Russell Gardens Community Garden,Existing,Jardin Communautaire de Russell Gardens,Actuel,2100 Russell Rd.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"2100, ch. Russell",http://justfood.ca/community-gardening-network/,{1453A1D7-4545-4048-9FCE-B9F9AE147D64}
-75.7270838179324,45.2888772067376,1336,South Nepean Muslim Centre Community Garden,In Development,Jardin Communautaire de South Nepean Muslim Centre,En cours de développement,3020 Woodroffe Ave.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"3020, av. Woodroffe",http://justfood.ca/community-gardening-network/,{D00E30E5-5A60-439E-95D0-993BBF43E286}
-75.6775257811251,45.3506288567774,1337,The Peaceful Garden,Existing,Le Jardin paisible,Actuel,3225 Uplands Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"3225, prom. Uplands",http://justfood.ca/community-gardening-network/,{64C97420-692C-429D-A062-5EA6DFD60C25}
-75.8804540085539,45.2914132261557,1642,Hope Living Community Garden,New,Jardin Communautaire Hope Living,Actuel,145 Castlefrank Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"145, ch.Castlefrank",http://justfood.ca/community-gardening-network/,{6CBA410D-37B7-40C8-BF63-9EEA9C0B0C95}
-75.8002956047522,45.3588312814896,1644,Brittania Woods Community Garden,New,Jardin Communautaire Brittania Woods,Actuel,107 Ritchie Street,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"107, rue Ritchie
",http://justfood.ca/community-gardening-network/,{42D6566D-5E43-4AE2-8C03-91516A88B198}
-75.9007118435783,45.3161554576112,1645,Care & Share Garden,New,Jardin communautaire Care and Share,Actuel,3501 Campeau Dr,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"3501, prom. Campeau
",http://justfood.ca/community-gardening-network/,{9B6BB085-BBEB-4A13-B8D5-C178FDD6F249}
-75.8719035435388,45.2547547696481,1646,Chapel Ridge Garden,New,Jardin Chapel Ridge,Actuel,5660 Flewellyn Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"5660, ch. Flewellyn
",http://justfood.ca/community-gardening-network/,{010A30C9-E1BE-4FD7-BDA2-2DBA22E7C23D}
-75.6492410711041,45.3723682426811,1647,Clementine Towers Community Garden,New,Jardin communautaire Clementine Towers,Actuel,1535 Heatherington Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1535, ch.Heatherington
",http://justfood.ca/community-gardening-network/,{F1A81869-606F-49FB-B2B3-7D65615987B5}
-75.9141525995165,45.2549751283962,1648,Free Food Project,New,Free Food Project,Actuel,1 Carleton Cathcart Street,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1, rue Carleton Cathcart
",http://justfood.ca/community-gardening-network/,{AD83AD7F-D738-4964-A06F-7B7D6399BF54}
-75.6505182698397,45.3786737298253,1649,Heron Gate Community Garden,New,Jardin Communautaire de Heron Gate,Actuel,2851 Baycrest Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"2851, prom. Baycrest
",http://justfood.ca/community-gardening-network/,{2560D94F-60E5-49F8-8E23-E7A58ECD3672}
-75.8870388932079,45.2959690201219,1651,Kanata South Community Garden,New,Jardins communautaires de Kanata-Sud,Actuel,46 Castlefrank Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"46, ch. Castlefrank
",http://justfood.ca/community-gardening-network/,{94E74B25-800D-42CE-BC4D-8147D0157CC9}
-75.7092846202534,45.4175536176928,1652,Kitigànensag,New,Kitigànensag,Actuel,1125 Bronson Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1125, ave. Bronson
",http://justfood.ca/community-gardening-network/,{1F8D9F6D-0B58-44EB-9D1D-9D3325DC3561}
-75.7741679297666,45.3260344654712,1653,Knox Church Community Garden,New,Jardin Communautaire de l'église Knox,Actuel,25 Gibard Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"25, ave. Gibard
",http://justfood.ca/community-gardening-network/,{1951E4FD-346B-408C-8759-731A41506319}
-75.6107365954646,45.4457404735973,1654,Lotus Peace Garden,New,Jardin Lotus Peace,Actuel,1722 Montreal Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1722, ch. Montreal",http://justfood.ca/community-gardening-network/,{DF81F748-E7C6-4B87-8319-B88324B88714}
-75.6973331557529,45.417356289001,1655,Off Bank,New,Off Bank,Actuel,176 Nepean Street,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"176, rue Nepean",http://justfood.ca/community-gardening-network/,{73B54FA0-CD05-4FCD-84C8-0DD4D545DFBB}
-75.7130563846849,45.4040543325095,1656,Ottawa Salus Gladstone Rosemount Garden,New,Jardin Communautaire d'Ottawa Salus Gladstone Rosemount,Actuel,930 Gladstone Ave ,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"930, ave. Gladstone ",http://justfood.ca/community-gardening-network/,{A95C46F7-7765-415E-AA71-EB5254063272}
-75.7728822185406,45.3681922387956,1657,Patsy's Planting Patch,New,Patsy's Planting Patch,Actuel,820 Woodroffe Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"820, ave. Woodroffe",http://justfood.ca/community-gardening-network/,{E1EC53F9-8E23-435C-AC06-C09C078F0888}
-75.8381344487468,45.1951073077966,1658,Richmond Fair Garden,New,Jardin de Richmond Fair,Actuel,6117 Perth Street,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"6121, rue Perth",http://justfood.ca/community-gardening-network/,{5DA18C4A-D95F-4B13-A638-27680A1A2DF5}
-75.708390833926,45.4101228804417,1659,St.Lukes Supper Table,New,St.Lukes Supper Table,Actuel,760 Somerset St. West,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"760, rue Somerset Ouest",http://justfood.ca/community-gardening-network/,{E000A180-0652-483C-BEAD-09A990D68550}
-75.730380224101,45.3366108323142,1660,Tanglewood Park Community Garden,New,Jardin Communautaire de Parc Tanglewood,Actuel,30 Woodfield Dr.,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"30, prom. Woodfield",http://justfood.ca/community-gardening-network/,{64BCA90A-F2F9-4BF1-88FA-B29E4339B7C9}
-75.6492410711041,45.3723682426811,1661,The Hope Garden,New,Le Jardin L'espoir,Actuel,1535 Heatherington Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"1535, ch. Heatherington",http://justfood.ca/community-gardening-network/,{C92A23ED-9250-429F-B0B4-B44DFBD724C2}
-75.6802254389071,45.4204885574946,1662,University of Ottawa Sustainability Office,New,Bureau de la durabilité de l'Université d'Ottawa,Actuel,141 Louis-Pasteur Private,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"141, priv. Louis-Pasteur",http://justfood.ca/community-gardening-network/,{E1623180-142A-4B4E-9863-473AB83BB200}
-75.7548093796927,45.3921182100586,1663,Westboro Food Bank,New,Banque alimentaire de Westboro,Actuel,347 Richmond Rd,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"347, ch. Richmond",http://justfood.ca/community-gardening-network/,{EC462B5F-AF16-4407-AF3A-69F07D9D61C5}
-75.7426303237571,45.3764491096353,2279,Carlington Community Garden,New,"Jardin Communautaire Carlington 
Jardin Communautaire Carlington 
Jardin Communautaire Carlington 
Jardin Communautaire Carlington 
Jardin Communautaire Carlington 
Jardin Communautaire Carlington 
Jardin Communautaire Carlington 
",,937 Clyde Ave,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"937, ave. Clyde",http://justfood.ca/community-gardening-network/,{2C2155C3-8306-45F2-B5D8-536C2440EEA1}
-75.6837185315718,45.4329874468921,2284,Beausoleil Garden,New,"Jardin Beausoleil
",,362 Murray Street,,http://www.alimentationjuste.ca/reseau-des-jardins-communautaires-dottawa/,"362, rue Murray",http://justfood.ca/community-gardening-network/,{BF8BF358-C91C-45BD-A988-44219233272A}
